;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Players;Score;Accuracy;Moves;Date;;Players;Score;Accuracy;Moves;Date;;Players;Score;Accuracy;Moves;Date;;Players;Rating;Score;Accuracy;Moves;Date;;Game_id;Black;White;Resoult;Accuracy;Moves;Rating;Date;;My_rating;Opponent_rating;;;;;;;
FUTUREBOY7(1248);0;65.2;56;15.cze.22;;1248;Lose;65.2;56;15.06.2022;;FUTUREBOY7;Lose;65.2;56;15.06.2022;;FUTUREBOY7;1248;Lose;65.2;56;15.06.2022;;;FUTUREBOY7;Aviozek;;;;;;;;1248;;;;1145;1109;;
Aviozek(1183);1;77.1;;;;1183;Win;77.1;;;;Aviozek;Win;77.1;;;;Aviozek;1183;Win;77.1;;;;;;;;;56;;15.06.2022;;1183;;;;;1137;1132;;
Nusharif(1197);0;82.2;66;15.cze.22;;1197;Lose;82.2;66;15.06.2022;;Nusharif;Lose;82.2;66;15.06.2022;;Nusharif;1197;Lose;82.2;66;15.06.2022;;;Nusharif;Aviozek;;;;;;;;1197;;;;1145;1175;;
Aviozek(1173);1;83.2;;;;1173;Win;83.2;;;;Aviozek;Win;83.2;;;;Aviozek;1173;Win;83.2;;;;;;;;;66;;15.06.2022;;1173;;;;;1136;1151;;
Aviozek(1164);1;78.6;24;15.cze.22;;1164;Win;78.6;24;15.06.2022;;Aviozek;Win;78.6;24;15.06.2022;;Aviozek;1164;Win;78.6;24;15.06.2022;;;Aviozek;Loord306;;;;;;;1164;;;;;1127;1109;;
Loord306(1210);0;79.1;;;;1210;Lose;79.1;;;;Loord306;Lose;79.1;;;;Loord306;1210;Lose;79.1;;;;;;;;;24;;15.06.2022;;;1210;;;;1119;1105;;
Knightwatching(1151);1;69.2;33;14.cze.22;;1151;Win;69.2;33;14.06.2022;;Knightwatching;Win;69.2;33;14.06.2022;;Knightwatching;1151;Win;69.2;33;14.06.2022;;;Knightwatching;Aviozek;;;;;;;;1151;;;;1110;1110;;
Aviozek(1155);0;58.6;;;;1155;Lose;58.6;;;;Aviozek;Lose;58.6;;;;Aviozek;1155;Lose;58.6;;;;;;;;;33;;14.06.2022;;1155;;;;;1119;1181;;
Aviozek(1164);1;83.6;15;13.cze.22;;1164;Win;83.6;15;13.06.2022;;Aviozek;Win;83.6;15;13.06.2022;;Aviozek;1164;Win;83.6;15;13.06.2022;;;Aviozek;Kevindo3;;;;;;;1164;;;;;1127;1035;;
Kevindo3(1217);0;63.4;;;;1217;Lose;63.4;;;;Kevindo3;Lose;63.4;;;;Kevindo3;1217;Lose;63.4;;;;;;;;;15;;13.06.2022;;;1217;;;;1120;1141;;
Aviozek(1154);1;74.4;53;13.cze.22;;1154;Win;74.4;53;13.06.2022;;Aviozek;Win;74.4;53;13.06.2022;;Aviozek;1154;Win;74.4;53;13.06.2022;;;Aviozek;vladimirmalyuta;;;;;;;1154;;;;;1119;1159;;
vladimirmalyuta(1153);0;67.3;;;;1153;Lose;67.3;;;;vladimirmalyuta;Lose;67.3;;;;vladimirmalyuta;1153;Lose;67.3;;;;;;;;;53;;13.06.2022;;;1153;;;;1108;1103;;
Aviozek(1146);1;76.8;44;12.cze.22;;1146;Win;76.8;44;12.06.2022;;Aviozek;Win;76.8;44;12.06.2022;;Aviozek;1146;Win;76.8;44;12.06.2022;;;Aviozek;aleorofino;;;;;;;1146;;;;;1098;985;;
aleorofino(1044);0;71.4;;;;1044;Lose;71.4;;;;aleorofino;Lose;71.4;;;;aleorofino;1044;Lose;71.4;;;;;;;;;44;;12.06.2022;;;1044;;;;1091;1050;;
Marko_143(987);0;85.7;10;12.cze.22;;987;Lose;85.7;10;12.06.2022;;Marko_143;Lose;85.7;10;12.06.2022;;Marko_143;987;Lose;85.7;10;12.06.2022;;;Marko_143;Aviozek;;;;;;;;987;;;;1081;1027;;
Aviozek(1140);1;94.6;;;;1140;Win;94.6;;;;Aviozek;Win;94.6;;;;Aviozek;1140;Win;94.6;;;;;;;;;10;;12.06.2022;;1140;;;;;1072;964;;
klepci(1117);1;80.3;16;12.cze.22;;1117;Win;80.3;16;12.06.2022;;klepci;Win;80.3;16;12.06.2022;;klepci;1117;Win;80.3;16;12.06.2022;;;klepci;Aviozek;;;;;;;;1117;;;;1064;1128;;
Aviozek(1131);0;67.1;;;;1131;Lose;67.1;;;;Aviozek;Lose;67.1;;;;Aviozek;1131;Lose;67.1;;;;;;;;;16;;12.06.2022;;1131;;;;;1074;1034;;
Myname077(1074);0;95.4;6;12.cze.22;;1074;Lose;95.4;6;12.06.2022;;Myname077;Lose;95.4;6;12.06.2022;;Myname077;1074;Lose;95.4;6;12.06.2022;;;Myname077;Aviozek;;;;;;;;1074;;;;1087;974;;
Aviozek(1140);1;99.3;;;;1140;Win;99.3;;;;Aviozek;Win;99.3;;;;Aviozek;1140;Win;99.3;;;;;;;;;6;;12.06.2022;;1140;;;;;1078;1077;;
Aviozek(1133);0;70.9;15;12.cze.22;;1133;Lose;70.9;15;12.06.2022;;Aviozek;Lose;70.9;15;12.06.2022;;Aviozek;1133;Lose;70.9;15;12.06.2022;;;Aviozek;matt66458;;;;;;;1133;;;;;1091;1060;;
matt66458(1141);1;81.9;;;;1141;Win;81.9;;;;matt66458;Win;81.9;;;;matt66458;1141;Win;81.9;;;;;;;;;15;;12.06.2022;;;1141;;;;1079;1076;;
